ID;Label
D2-101;Human
D2-102;Human
D2-103;OpenAI
D2-104;OpenAI
D2-105;Human
D2-106;Human
D2-107;OpenAI
D2-108;Human
D2-109;Human
D2-110;Human
D2-111;Human
D2-112;OpenAI
D2-113;OpenAI
D2-114;OpenAI
D2-115;OpenAI
D2-116;Human
D2-117;Human
D2-118;Human
D2-119;OpenAI
D2-120;OpenAI
D2-121;Human
D2-122;Human
D2-123;Human
D2-124;Human
D2-125;OpenAI
D2-126;OpenAI
D2-127;Human
D2-128;Human
D2-129;Human
D2-130;OpenAI
D2-131;OpenAI
D2-132;Human
D2-133;OpenAI
D2-134;OpenAI
D2-135;OpenAI
D2-136;Human
D2-137;OpenAI
D2-138;Human
D2-139;Human
D2-140;Human
D2-141;OpenAI
D2-142;OpenAI
D2-143;Human
D2-144;OpenAI
D2-145;OpenAI
D2-146;OpenAI
D2-147;Human
D2-148;Human
D2-149;Human
D2-150;Human
D3-1;Anthropic
D3-2;Human
D3-3;OpenAI
D3-4;OpenAI
D3-5;OpenAI
D3-6;OpenAI
D3-7;OpenAI
D3-8;Human
D3-9;OpenAI
D3-10;Human
D3-11;OpenAI
D3-12;OpenAI
D3-13;Human
D3-14;OpenAI
D3-15;OpenAI
D3-16;Anthropic
D3-17;OpenAI
D3-18;OpenAI
D3-19;OpenAI
D3-20;OpenAI
D3-21;Human
D3-22;Human
D3-23;Human
D3-24;Human
D3-25;Human
D3-26;OpenAI
D3-27;OpenAI
D3-28;Human
D3-29;OpenAI
D3-30;OpenAI
D3-31;Human
D3-32;OpenAI
D3-33;OpenAI
D3-34;OpenAI
D3-35;Human
D3-36;OpenAI
D3-37;Human
D3-38;Anthropic
D3-39;OpenAI
D3-40;OpenAI
D3-41;Google
D3-42;OpenAI
D3-43;OpenAI
D3-44;Human
D3-45;Anthropic
D3-46;OpenAI
D3-47;OpenAI
D3-48;Human
D3-49;OpenAI
D3-50;OpenAI
D3-51;Human
D3-52;OpenAI
D3-53;OpenAI
D3-54;OpenAI
D3-55;OpenAI
D3-56;OpenAI
D3-57;OpenAI
D3-58;OpenAI
D3-59;OpenAI
D3-60;Human
D3-61;Anthropic
D3-62;Human
D3-63;Anthropic
D3-64;OpenAI
D3-65;OpenAI
D3-66;OpenAI
D3-67;Anthropic
D3-68;Anthropic
D3-69;Anthropic
D3-70;OpenAI
D3-71;Human
D3-72;Anthropic
D3-73;Human
D3-74;Human
D3-75;Anthropic
D3-76;Human
D3-77;Human
D3-78;Anthropic
D3-79;OpenAI
D3-80;OpenAI
D3-81;Anthropic
D3-82;Anthropic
D3-83;OpenAI
D3-84;Anthropic
D3-85;Human
D3-86;OpenAI
D3-87;OpenAI
D3-88;OpenAI
D3-89;Human
D3-90;OpenAI
D3-91;OpenAI
D3-92;OpenAI
D3-93;Human
D3-94;Human
D3-95;Human
D3-96;Human
D3-97;OpenAI
D3-98;Anthropic
D3-99;Human
D3-100;Human
